Batting Average (bin),height weight ratio,HR is 0,Highest BA,BA is 0,Search for name BA,Search for name HR,Right Handed,Home Runs,Home Runs ,Home Runs (bins of 20),Number of Players,Weight ranges (pounds),Weight (lb) ,Batting Average,Handedness,Height (inches),Name,Weight
0.05,0.375,True,False,False,True,True,True,0,0,0,1,200,200,0.066,Right,75,Dean Chance,200
0.26,0.389189189,False,False,False,True,True,False,123,120,120,1,185,185,0.262,Left,72,Willie Upshaw,185
0.22,0.388888889,False,False,False,True,True,True,80,80,80,1,180,180,0.24,Right,70,Dick Green,180
0.28,0.4,False,False,False,True,True,False,14,10,0,1,180,180,0.276,Left,72,Dane Iorg,180
0.28,0.374358974,False,False,False,True,True,False,203,200,200,1,195,195,0.276,Left,73,Richie Hebner,195
0.24,0.35,False,False,False,True,True,True,20,20,20,1,220,220,0.25,Right,77,Fran Healy,220
0.22,0.344186047,False,False,False,True,True,True,15,10,0,1,215,215,0.238,Right,74,Doc Edwards,215
0.24,0.492857143,False,False,False,True,True,False,13,10,0,1,140,140,0.245,Both,69,Sandy Alomar,140
0.24,0.414201183,False,False,False,True,True,True,1,0,0,1,165,165,0.25,Right,70,Joe Strain,169
0.28,0.411428571,False,False,False,True,True,False,26,20,20,1,175,175,0.29,Left,72,Gene Richards,175
0.28,0.405555556,False,False,False,True,True,True,201,200,200,1,180,180,0.279,Right,73,Buddy Bell,180
0.26,0.394736842,False,False,False,True,True,False,35,30,20,1,190,190,0.271,Left,75,Al Woods,190
0.26,0.442424242,False,False,False,True,True,False,18,10,0,1,165,165,0.271,Left,73,Rudy Law,165
0.00,0.375609756,True,False,True,True,True,False,0,0,0,1,205,205,0,Left,77,Joel Davis,205
0.24,0.395833333,False,False,False,True,True,True,127,120,120,1,190,190,0.245,Right,76,Jody Davis,192
0.24,0.454545455,False,False,False,True,True,True,2,0,0,1,150,150,0.25,Right,70,Mike Edwards,154
0.00,0.411428571,True,False,True,True,True,True,0,0,0,1,175,175,0,Right,72,Bill Mooneyham,175
0.00,0.394736842,True,False,True,True,True,True,0,0,0,1,190,190,0,Right,75,John Hobbs,190
0.24,0.37,False,False,False,True,True,True,245,240,240,1,200,200,0.244,Right,74,Deron Johnson,200
0.15,0.405405405,True,False,False,True,True,True,0,0,0,1,185,185,0.17,Right,75,John Denny,185
0.24,0.432098765,False,False,False,True,True,True,77,70,60,1,160,160,0.242,Right,70,Don Wert,162
0.22,0.411428571,False,False,False,True,True,False,13,10,0,1,175,175,0.227,Left,72,Mike Fiore,175
0.26,0.45,False,False,False,True,True,False,6,0,0,1,160,160,0.265,Both,72,Miguel Dilone,160
0.28,0.331818182,False,False,False,True,True,True,307,300,300,1,220,220,0.276,Right,73,Greg Luzinski,220
0.26,0.417647059,False,False,False,True,True,False,86,80,80,1,170,170,0.265,Left,71,Bobby Tolan,170
0.00,0.4,True,False,True,True,True,True,0,0,0,1,190,190,0,Right,76,Karl Best,190
0.00,0.38,True,False,True,True,True,False,0,0,0,1,200,200,0,Left,76,Steve Barr,200
0.22,0.416666667,False,False,False,True,True,True,26,20,20,1,165,165,0.233,Right,70,Ron Woods,168
0.26,0.357142857,False,False,False,True,True,True,76,70,60,1,210,210,0.268,Right,75,Tony Horton,210
0.22,0.417647059,False,False,False,True,True,True,82,80,80,1,170,170,0.236,Right,71,Randy Hundley,170
0.26,0.430303030,False,False,False,True,True,False,2,0,0,1,165,165,0.261,Left,71,Jose Tartabull,165
0.26,0.4625,False,False,False,True,True,False,235,230,220,1,160,160,0.273,Left,74,Ben Oglivie,160
